S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
1,An economic system in which the economic freedom of the consumers is sacrificed is,Centrally planned economy,capitalist economy,decentralised economy,Market economy,Close economy,A,,,,,Advance
2,Demand curve shifts leftwards when the income of the buyers increases for,A normal good,An inferior good,A free good,A luxury good,An essential good,B,Theory of demand and supply,,,,ADVANCE
3,Economics is a science which studies human behaviours as a relationship between ends and scarce means which  have alternative uses.ENDS here refers to,Resources,wants,choice,output ,factors,B,Economics concepts,,,,BEGINNER
4,The verticial distance between Average Total Cost (ATC) and Average Variable Cost (AVC) measures,Marginal cost,Total fixed cost,Average fixed cost,Economic profit,Total variable cost,C,Theory of Cost,,,,ADVANCE
5,The market structure in which the operators are many and none of them can influence the market price is the,Imperfect market,Perfect market,Oligopolistic market,Stock market,Duopolistic market,B,Market structure,,,,ADVANCE
6,The reward for entrepreneurial efforts in a production process is called,Rent,Wage,Dividend,Interest,Profit,E,Production,,,,ADVANCE
7,"In the short-run, the marginal cost is the",Ratio of change in total variable cost to change in quantity,Ratio of change in total fixed cost to change in quantity,Ratio of total cost to quantity,Addition of total fixed cost and total variable cost,Difference between total cost and total variable cost,A,Theory of cost,,,,ADVANCE
8,"Given the demand function for Milo as Qd = 300 - 20p and supply function as Qs = 20p - 100, where price (p) is in dollars, the equilibrium price is",A$100.00,A$50.00,A$20.00,A$15.00,A$10.00,E,Theory of Demand and Supply,,,,ADVANCE
9,The economic activities of the society as a whole is the concern of,Normative economics,Positive economics,Welfare economics,Macro economics,Micro economics,D,Economics meaning and basic concept,,,,ADVANCE
10,The monetary payments a firm makes to outside suppliers of resources are called,Economic cost,Opportunity cost,Explicit cost,Implicit cost,Real cost,C,Theory of cost,,,,ADVANCE
11,The purpose of the theory of consumer behaviour is to,Confirm the law of supply,Validate the law of demand,Explain the law of diminishing returns,Substantiate the law of increasing opportunity cost,Rationalise the properties of an indifference curve,B,Theory of consumer behaviour,,,,ADVANCE
12,"When price elasticity of demand coefficient for a commodity is zero, it means that demand for the commodity is",Elastic,Inkelastic,Unit elastic,Perfectly elastic,Perfectly inelastic,E,Demand and supply,,,,ADVANCE
13,Which of the following monetary policy measures CANNOT be used to curb inflation in an economy?,Sale of treasury bills,Increase in discount rate,Request for spcial deposits,Increase in reserve requirements,Upward review of credit ceiling,E,Public finance,,,,ADVANCE
14,Which ONE of the following countries is a member of the Paris Club of creditors?,United Arab Emirates,Republic of Ireland,United kingdom,Argentina,Australia,C,International economic organization,,,,ADVANCE
15,ONE  of the methods of estimating a country's national income is the,Cost-benefit method,Expenditure method,Distribution method,Consumption method,Multiplier method,B,National income,,,,ADVANCE
16,"Given a non-governed economy in which investment (I) = L$50 million and consumption (C) =L$100 million + 0.25Y, the equilibrium national income (Y) is",L$50 million,L$100 million,L$200 million,L$400 million,L$500 million,D,National income,,,,ADVANCE
17,Which of the following is NOT a characteristic of developing countries?,Low level of income,Low life expectancy,Low popultion growth rate,Export of primary products,Predominance of primitive technology,C,Economic development and planning,,,,ADVANCE
18,The General Agreement on Tarriffs nd Trade (GATT) now World Trade Organisation (WTO) was formed to,Promote exchange rate stability,Promote trade liberalisation,Promote commercialization of international businesses,Encourage self sufficiency,Discourage free trade,B,Taxation,,,,ADVANCE
19,A tax levied on businesses at every stage of production and distribution is called,Value - added tax,Capital gains tax,Advalorem tax,Personal income tax,Companies income tax,A,Taxation,,,,ADVANCE
20,"The population of a country in a certain year was 50 million and the per capita income was $2,050, the country's Gross National Product (GNP) is",$750 billion,$750 billion,$100.25 billion,$102.5 billion,$150 billion,C,National income,,,,ADVANCE
21,Which of the following is NOT an argument for trade protection?,Promote a self - reliant economy,Protect newly established local industries,Encourage importation of goods,Raise revenue for government,Preventy dumping,C,International trade,,,,ADVANCE
